,model,MdAPE,MAPE,R2,MAE,MSE,RMSE
0,Ordinary Linear Regression,286.58116466707673,105.72731010564735,-3.651801944272928,1798907.7647389,5478635029282.199,2340648.4206907707
1,Ridge Regression,71.17496079592928,19.40014147365674,-1.2426394714846891,504576.42019047297,2641256724537.3813,1625194.36515679
2,Lasso Regression,264.7977347643228,96.47115957344857,-3.2531559735677638,1661956.0014621236,5009131854909.869,2238108.9908469315
3,ElasticNet,35.286580680880256,16.079396005960426,-1.5174335796306075,360781.71893777704,2964894025687.3335,1721886.7633173016
