,model,MdAPE,MAPE,R2,MAE,MSE,RMSE
0,Ridge Regression- Baseline model,37.93245078258713,16.013039689318898,-2.7725353792699834,331324.00302051293,2105696958753.1301,1451101.9808246181
1,Decision Tree Regressor,19.599121928824953,0.548343000770046,0.7208166509245184,215893.42865956348,155830355445.60324,394753.5375973257
2,Decision Tree Regressor,19.599121928824953,0.548343000770046,0.7208166509245184,215893.42865956348,155830355445.60324,394753.5375973257
3,Random Forest Regressor,9.65474254112412,0.26197592445783024,0.8855597607348837,123941.2140599931,63876528528.71766,252738.06307859064
