,model,MdAPE,MAPE,R2,MAE,MSE,RMSE
0,Ridge Regression- Baseline model,33.761187587550005,21.347474990631195,-0.37115887547471593,347196.5766651117,1809300757851.996,1345102.5083063357
1,Decision Tree Regressor,15.05661214774383,0.4332788030801041,0.6297194163432426,197977.32799191392,488600520779.25995,698999.657209687
2,Decision Tree Regressor,9.592402494131449,0.3775412641343358,0.6784596161903198,146265.26543583057,424285814366.669,651372.2548333395
