,model,train-test-X,MdAPE,MAPE,R2,MAE,MSE,RMSE
0,ElasticNet Regression,4,31.135899485422602,63.449029557200035,0.5051357293942722,302701.85360576055,527909816128.1909,726574.0265989357
1,Decision Tree Regression,4,15.15044950738917,1.8695164951713346,0.6674869548314971,183722.80195914287,354717264837.62317,595581.4510523503
2,Random Forest Regressor,4,9.802311724137933,1.3537566515316943,0.7197070419266606,135389.59282373043,299010077606.5417,546818.139427124
3,ElasticNet Regression,5,33.707034307706365,22.090240319899333,0.06234737811514535,354282.32238323876,8787502310938.456,2964372.161341834
4,Decision Tree Regression,5,15.00916352897749,0.2923942978097439,0.0850209639163042,222742.7118107325,8575009770551.35,2928311.7611605753
5,Random Forest Regressor,5,9.439393939393945,0.2720579654589358,0.09564749942653028,175942.86107909412,8475419897741.449,2911257.442711216
6,ElasticNet Regression,6,31.8055349659782,21.23374677411226,0.5355619787930945,304159.5746686811,454521133040.0699,674181.8249108099
7,Decision Tree Regression,6,15.245637465481806,0.8928789842120155,0.7114926122817589,183420.51752780986,282347049053.73486,531363.3870090551
8,Random Forest Regressor,6,9.474499073111579,0.41526173539533284,0.7627845056112965,132347.54572251724,232150363150.78235,481819.84511929593
9,ElasticNet Regression,7,37.69102241313877,241.4738636899233,0.5046769764401976,328225.9592080317,625782659005.2776,791064.2571910815
10,Decision Tree Regression,7,15.07765151515151,250.71569479121598,0.7235908012608462,176365.96203350034,349210666844.0021,590940.4934881363
11,Random Forest Regressor,7,9.74432519001085,211.90309627006067,0.7507123204234531,139908.2733664094,314945802158.60406,561200.3226643798
12,ElasticNet Regression,8,35.99823617645134,33.25591510101159,0.3107643930554229,325285.4198293223,758653828287.8964,871007.3640836204
13,Decision Tree Regression,8,14.554667090108403,0.2883828588708843,0.7305085865041115,174187.7435537859,296633967368.1609,544641.1363165299
14,Random Forest Regressor,8,9.209853086419749,0.22975422074890256,0.7791848002455288,128842.00869581127,243055197598.57236,493006.28555686015
15,ElasticNet Regression,9,32.948964306581445,21.5367364033307,0.5147498365279609,312633.8996743363,515183010422.54364,717762.5027977873
16,Decision Tree Regression,9,15.301212349655621,0.2367075218572943,0.7321161559587931,184416.09898744494,284408364191.4414,533299.5070234374
17,Random Forest Regressor,9,9.34191549295775,0.232341562092436,0.7859771304659287,132102.84463186693,227224954314.08057,476681.18728777266
18,ElasticNet Regression,10,32.35259610957873,24.174921703508556,0.48156390460348086,314770.2324805203,574977001756.0526,758272.3796605364
19,Decision Tree Regression,10,15.16415370419959,0.23726662091178027,0.6634317012756947,182397.18003689442,373274609937.462,610962.0364126252
20,Random Forest Regressor,10,9.196658338261384,0.17385917658156838,0.7258793854622865,128248.32620844596,304016349297.3475,551376.7761679372
21,ElasticNet Regression,11,32.598082264168916,24.356338912556737,0.5381670461531215,315315.48946068157,468478242066.76056,684454.7041746156
22,Decision Tree Regression,11,15.032049598117647,0.2790371643013567,0.7188345703521715,177646.15112869188,285211103092.9857,534051.5921640771
23,Random Forest Regressor,11,8.860613333333333,0.18922166557322848,0.774634721447135,126650.54079806623,228608046783.8093,478129.73844324856
24,ElasticNet Regression,12,33.03797661950342,21.774987892618352,-0.6786639427949173,347976.02983936435,2215066392525.9106,1488309.9114518827
25,Decision Tree Regression,12,15.059135257240028,0.4381840358814105,0.6297289996812696,191595.19010886853,488587875168.9917,698990.6116458158
26,Random Forest Regressor,12,8.89553752922212,0.34889748637586676,0.6892236086372918,138750.46671399378,410082281836.5114,640376.671839716
