,model,MdAPE,MAPE,R2,MAE,MSE,RMSE
0,ElasticNet Regression- Baseline model,35.286580680880256,16.079396005960426,-1.5174335796306075,360781.71893777704,2964894025687.3335,1721886.7633173016
1,Decision Tree Regressor,17.67887387982555,0.3975925289144092,0.5935183464838832,230856.30875824144,478731608179.42334,691904.3345574758
2,Random Forest Regressor,8.220804911347516,0.289031644815929,0.6900389322209453,138709.25929331596,365055001049.37604,604197.8161574039
