,model,MdAPE,MAPE,R2,MAE,MSE,RMSE
0,ElasticNet,32.92737149981808,2179.3722872924286,-0.5647848569349014,347199.8243981487,2064798236125.2278,1436940.5819745045
1,Decesion tree,14.66021914158597,43.98237589277745,0.6445849516927846,194431.0412424111,468984833016.9718,684824.6731952433
2,Random forest,9.134686205322001,34.77498093162628,0.6889043622855124,138977.824803681,410503540580.88245,640705.5022246044
3,XGBoost,11.85982584789488,43.568273162971906,0.6918310217881485,134340.30820753373,406641692511.4814,637684.6340562719
4,LightGBM,14.436754364152382,179.2047832905903,0.7121690128418512,140642.21932294505,379804873463.8627,616283.1114543563
