,model,train-test-X,MdAPE,MAPE,R2,MAE,MSE,RMSE
0,ElasticNet Regression,4,31.135899485422602,63.449029557200035,0.5051357293942722,302701.85360576055,527909816128.1909,726574.0265989357
1,Decision Tree Regression,4,15.15044950738917,1.8695164951713346,0.6674869548314971,183722.80195914287,354717264837.62317,595581.4510523503
2,Random Forest Regressor,4,9.802311724137933,1.3537566515316943,0.7197070419266606,135389.59282373043,299010077606.5417,546818.139427124
3,XGBoost,4,15.870162500000001,5.47648256083561,0.7384092375639673,142555.15300048233,279059005673.22327,528260.3578475516
4,LightGBM,4,16.443480583925595,2.4410481256046745,0.7385389821006185,147556.2257883862,278920597187.1886,528129.3375558573
5,ElasticNet Regression,5,33.707034307706365,22.090240319899333,0.06234737811514535,354282.32238323876,8787502310938.456,2964372.161341834
6,Decision Tree Regression,5,15.00916352897749,0.2923942978097439,0.0850209639163042,222742.7118107325,8575009770551.35,2928311.7611605753
7,Random Forest Regressor,5,9.439393939393945,0.2720579654589358,0.09564749942653028,175942.86107909412,8475419897741.449,2911257.442711216
8,XGBoost,5,16.239646739130436,2.0165651449905453,0.09615804090999391,181359.21819189534,8470635199910.873,2910435.5687612933
9,LightGBM,5,16.622868233667667,2.1100279165711946,0.09590544964035963,185325.58289328194,8473002437322.498,2910842.221303398
10,ElasticNet Regression,6,31.8055349659782,21.23374677411226,0.5355619787930945,304159.5746686811,454521133040.0699,674181.8249108099
11,Decision Tree Regression,6,15.245637465481806,0.8928789842120155,0.7114926122817589,183420.51752780986,282347049053.73486,531363.3870090551
12,Random Forest Regressor,6,9.474499073111579,0.41526173539533284,0.7627845056112965,132347.54572251724,232150363150.78235,481819.84511929593
13,XGBoost,6,15.43012840909091,1.8137239823599476,0.7827771182354863,141012.0955239056,212584641725.21085,461069.0205654798
14,LightGBM,6,16.22167044214759,1.8171966443171128,0.7777527521508318,142411.9507005388,217501725300.04565,466370.8023665779
15,ElasticNet Regression,7,37.69102241313877,241.4738636899233,0.5046769764401976,328225.9592080317,625782659005.2776,791064.2571910815
16,Decision Tree Regression,7,15.07765151515151,250.71569479121598,0.7235908012608462,176365.96203350034,349210666844.0021,590940.4934881363
17,Random Forest Regressor,7,9.74432519001085,211.90309627006067,0.7507123204234531,139908.2733664094,314945802158.60406,561200.3226643798
18,XGBoost,7,20.071977848101266,237.28760584575764,0.7701388559481457,148271.101964391,290402648544.35504,538890.2008242079
19,LightGBM,7,20.11354537780237,248.71798732683501,0.7651097737678256,149703.07439704685,296756305187.527,544753.4352232458
20,ElasticNet Regression,8,35.99823617645134,33.25591510101159,0.3107643930554229,325285.4198293223,758653828287.8964,871007.3640836204
21,Decision Tree Regression,8,14.554667090108403,0.2883828588708843,0.7305085865041115,174187.7435537859,296633967368.1609,544641.1363165299
22,Random Forest Regressor,8,9.209853086419749,0.22975422074890256,0.7791848002455288,128842.00869581127,243055197598.57236,493006.28555686015
23,XGBoost,8,17.77665254237288,2.056572887607366,0.7790981399792101,141597.99322355253,243150586087.125,493103.01772259007
24,LightGBM,8,18.39174675392877,2.164874569242603,0.7682399172791543,145104.79517983037,255102423944.59988,505076.6515536032
25,ElasticNet Regression,9,32.948964306581445,21.5367364033307,0.5147498365279609,312633.8996743363,515183010422.54364,717762.5027977873
26,Decision Tree Regression,9,15.301212349655621,0.2367075218572943,0.7321161559587931,184416.09898744494,284408364191.4414,533299.5070234374
27,Random Forest Regressor,9,9.34191549295775,0.232341562092436,0.7859771304659287,132102.84463186693,227224954314.08057,476681.18728777266
28,XGBoost,9,16.3795,1.9060652751101907,0.7908059962143912,145396.0588610182,222098218085.0415,471272.976187943
29,LightGBM,9,16.81967618768057,1.8555877505899707,0.7827102461810463,147771.01222654353,230693357639.37845,480305.4836657379
30,ElasticNet Regression,10,32.35259610957873,24.174921703508556,0.48156390460348086,314770.2324805203,574977001756.0526,758272.3796605364
31,Decision Tree Regression,10,15.16415370419959,0.23726662091178027,0.6634317012756947,182397.18003689442,373274609937.462,610962.0364126252
32,Random Forest Regressor,10,9.196658338261384,0.17385917658156838,0.7258793854622865,128248.32620844596,304016349297.3475,551376.7761679372
33,XGBoost,10,16.919529770031083,1.9245205033475075,0.7357698665597511,143016.8508372348,293047207260.6696,541338.3482265685
34,LightGBM,10,17.156322523973994,1.9722786116152922,0.7342049814529436,144785.46926216962,294782759539.5222,542939.0016747022
35,ElasticNet Regression,11,32.598082264168916,24.356338912556737,0.5381670461531215,315315.48946068157,468478242066.76056,684454.7041746156
36,Decision Tree Regression,11,15.032049598117647,0.2790371643013567,0.7188345703521715,177646.15112869188,285211103092.9857,534051.5921640771
37,Random Forest Regressor,11,8.860613333333333,0.18922166557322848,0.774634721447135,126650.54079806623,228608046783.8093,478129.73844324856
38,XGBoost,11,15.789381568833813,1.754131424311291,0.7829253361857488,139560.71150625733,220198138859.2087,469252.7451802586
39,LightGBM,11,16.446601024843254,1.8342870777328257,0.780550456378099,142696.20807553752,222607190677.9243,471812.6648129788
40,ElasticNet Regression,12,33.03797661950342,21.774987892618352,-0.6786639427949173,347976.02983936435,2215066392525.9106,1488309.9114518827
41,Decision Tree Regression,12,15.059135257240028,0.4381840358814105,0.6297289996812696,191595.19010886853,488587875168.9917,698990.6116458158
42,Random Forest Regressor,12,8.89553752922212,0.34889748637586676,0.6892236086372918,138750.46671399378,410082281836.5114,640376.671839716
43,XGBoost,12,16.311545428128632,1.7587358532350152,0.7016563323483266,151264.63737446742,393676789493.5822,627436.6816608527
44,LightGBM,12,16.75033935827664,2.2074690920135733,0.6970225358143619,155729.86724595542,399791275371.6185,632290.499194491
